CODE,LOCATION,TYPE,RATING (MAX = 5),Address,Description,Long Description,Tags_Creation_Description,Ticket Info,image_path,open_time,close_time,coordinate,tags
,Northern Charm Hotel,,4.2,"12 Lý Tự Trọng, Bến Nghé","Northern Charm Hotel located at 12 Lý Tự Trọng, Bến Nghé",Northern Charm Hotel is a 4-star hotel in Ho Chi Minh City. Rated 8.4/10 by 185 reviews. Guests praise its location near Near Saigon Japan Town | Japanese  Area. The most popular room is 'Premier City View Non Smoking' with 1 queen bed. Great location|Delicious breakfast,Great location|Delicious breakfast,~₫1950000/night (approx. $78),https://ak-d.tripcdn.com/images/0220512000akxoo1nBDCB_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.78207, 106.70458",Great location|Delicious breakfast
,M Village Living Cach Mang Thang 8,,4.5,"656, Cach Mang Thang 8 Street","M Village Living Cach Mang Thang 8 located at 656, Cach Mang Thang 8 Street",M Village Living Cach Mang Thang 8 is a 3-star hotel in Ho Chi Minh City. Rated 9.1/10 by 40 reviews. Guests praise its location near Near Hòa Bình District 10 Cultural Center. The most popular room is 'Studio Balcony' with 1 queen bed. Great service|Clean and tidy,Great service|Clean and tidy,~₫750000/night (approx. $30),https://ak-d.tripcdn.com/images/1mc3612000inm1gih934D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.787248, 106.664558",Great service|Clean and tidy
,CityHouse - MTA Calmette,,4.4,"54 Calmette Street, Nguyen Thai Binh Ward","CityHouse - MTA Calmette located at 54 Calmette Street, Nguyen Thai Binh Ward",CityHouse - MTA Calmette is a 3-star hotel in Ho Chi Minh City. Rated 8.8/10 by 24 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Deluxe Studio With Balcony' with 1 queen bed. Clean and tidy,Clean and tidy,~₫1050000/night (approx. $42),https://ak-d.tripcdn.com/images/1mc1112000lw9tecuFC59_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.767789, 106.699701",Clean and tidy
,A25 Hotel - 29 Bui Thi Xuan,,4.0,"29 - 31 Bui Thi Xuan, Ben Thanh","A25 Hotel - 29 Bui Thi Xuan located at 29 - 31 Bui Thi Xuan, Ben Thanh",A25 Hotel - 29 Bui Thi Xuan is a 3-star hotel in Ho Chi Minh City. Rated 8.1/10 by 15 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Standard Double' with 1 queen bed. ,,~₫875000/night (approx. $35),https://ak-d.tripcdn.com/images/1mc4k12000bmyre5bFD10_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.77135, 106.6901",
,InterContinental Grand Ho Tram,,4.7,"Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram located at Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram is a 5-star hotel in Phuoc Thuan. Rated 9.3/10 by 90 reviews. Guests praise its location near Near Ho Tram Beach, Phuoc Thuan. The most popular room is 'Classic King Room - Non-Smoking' with 1 king bed. Great stay!|Great service",Great stay!|Great service,~₫2475000/night (approx. $99),https://ak-d.tripcdn.com/images/0225b120009c6vqxq46A4_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.486559, 107.454275",Great stay!|Great service
,Victory Airport Hotel,,4.1,96 Yên Thế,Victory Airport Hotel located at 96 Yên Thế,Victory Airport Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.2/10 by 217 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Double Bed Room' with 1 queen bed. Close to airport|Convenient location,Close to airport|Convenient location,~₫450000/night (approx. $18),https://ak-d.tripcdn.com/images/1mc1a12000agik5px66CC_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.812823, 106.668483",Close to airport|Convenient location
,Somerset Ho Chi Minh City,,4.5,No 8A Nguyễn Bỉnh Khiêm,Somerset Ho Chi Minh City located at No 8A Nguyễn Bỉnh Khiêm,Somerset Ho Chi Minh City is a 5-star hotel in Ho Chi Minh City. Rated 9.1/10 by 333 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'One Bedroom Deluxe Apartment' with 1 king bed. Clean pool|Great swimming pool,Clean pool|Great swimming pool,~₫2350000/night (approx. $94),https://ak-d.tripcdn.com/images/1mc0312000cjsvi0d45A8_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.789861, 106.703128",Clean pool|Great swimming pool
,Swan Boutique Hotel,,4.0,95 - 97 Dang Nhu Mai Street,Swan Boutique Hotel located at 95 - 97 Dang Nhu Mai Street,Swan Boutique Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.0/10 by 1 review. Guests praise its location near 6.8 km from center. The most popular room is 'Superior Double Room' with 1 queen bed. ,,~₫725000/night (approx. $29),https://ak-d.tripcdn.com/images/0580212000le0ptgg7CCA_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775957, 106.758852",
,VINHOMES CENTRAL PARK LUXURY APARTMENT,,4.7,"QPWC+VG, 208 Nguyen Huu Canh","VINHOMES CENTRAL PARK LUXURY APARTMENT located at QPWC+VG, 208 Nguyen Huu Canh","VINHOMES CENTRAL PARK LUXURY APARTMENT is a 4-star hotel in Ho Chi Minh City. Rated 9.4/10 by 74 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Vinhomes Central Park. The most popular room is 'Boutique 2-bedroom And 1-living Room, No View' with 1 king bed and 1 queen bed. Great stay!|Great service",Great stay!|Great service,~₫1625000/night (approx. $65),https://ak-d.tripcdn.com/images/1mc4y12000iv9pgshAE7F_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.7948, 106.719893",Great stay!|Great service
,Lan Anh Hotel,,4.3,252 Đ. Đề Thám,Lan Anh Hotel located at 252 Đ. Đề Thám,Lan Anh Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.6/10 by 53 reviews. Guests praise its location near Near Pham Ngu Lao | Pham Ngu Lao Street Area. The most popular room is 'Superior Double Room' with 1 double bed. Great location|Great service,Great location|Great service,~₫600000/night (approx. $24),https://ak-d.tripcdn.com/images/02265120009un4q2eBFA3_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.768133, 106.693698",Great location|Great service
,Nicecy Hotel – 218 Le Thanh Ton Street,,4.0,"218 Le Thanh Ton Street, Ben Thanh Ward","Nicecy Hotel – 218 Le Thanh Ton Street located at 218 Le Thanh Ton Street, Ben Thanh Ward",Nicecy Hotel – 218 Le Thanh Ton Street is a 2-star hotel in Ho Chi Minh City. Rated 8.0/10 by 103 reviews. Guests praise its location near Near Pham Ngu Lao | Ben Thanh Market Area. The most popular room is 'Superior Double Room （No Window）' with 1 double bed. Great location|Great stay!,Great location|Great stay!,~₫525000/night (approx. $21),https://ak-d.tripcdn.com/images/1mc4v12000f8isldx711D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.772638, 106.696654",Great location|Great stay!
,The Odys Boutique Hotel,,4.5,67 69 Đ. Nguyễn Thái Bình,The Odys Boutique Hotel located at 67 69 Đ. Nguyễn Thái Bình,The Odys Boutique Hotel is a 4-star hotel in Ho Chi Minh City. Rated 9.0/10 by 178 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Odys Premium Room' with 1 king bed. Great service|Delicious breakfast,Great service|Delicious breakfast,~₫2100000/night (approx. $84),https://ak-d.tripcdn.com/images/1mc1q12000my7jc0qA030_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.769508, 106.700058",Great service|Delicious breakfast
,Park Hyatt Saigon,,4.5,"2 Công Trường Lam Sơn, Bến Nghé","Park Hyatt Saigon located at 2 Công Trường Lam Sơn, Bến Nghé",Park Hyatt Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.0/10 by 186 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Park Twin Room' with 2 single beds. Clean pool|Great swimming pool,Clean pool|Great swimming pool,~₫7300000/night (approx. $292),https://ak-d.tripcdn.com/images/1mc3s12000el2vdyxF5CE_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.777482, 106.703455",Clean pool|Great swimming pool
,Sheraton Saigon Grand Opera Hotel,,4.7,"88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel located at 88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 476 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Guest Room, 1 King Bed' with 1 king bed. Delicious breakfast|Located downtown",Delicious breakfast|Located downtown,~₫4825000/night (approx. $193),https://ak-d.tripcdn.com/images/1mc3112000icibkvj724E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775446, 106.703878",Delicious breakfast|Located downtown
,APEC BnB Hotel,,4.1,"18A/70 Nguyen Thi Minh Khai, Da Kao ward, District 1, Ho Chi Minh city","APEC BnB Hotel located at 18A/70 Nguyen Thi Minh Khai, Da Kao ward, District 1, Ho Chi Minh city",APEC BnB Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.2/10 by 33 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Triple Room' with 1 queen bed and 1 sofa bed. Great location|Friendly host,Great location|Friendly host,~₫775000/night (approx. $31),https://ak-d.tripcdn.com/images/0220412000lsc9ir15836_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.785862, 106.700681",Great location|Friendly host
,Cozy Hotel - 140 Cong Quynh,,4.2,140 Cong Quynh,Cozy Hotel - 140 Cong Quynh located at 140 Cong Quynh,Cozy Hotel - 140 Cong Quynh is a 3-star hotel in Ho Chi Minh City. Rated 8.4/10 by 16 reviews. Guests praise its location near Near Pham Ngu Lao | Pham Ngu Lao Street Area. The most popular room is 'Standard Room' with 1 queen bed. ,,~₫700000/night (approx. $28),https://ak-d.tripcdn.com/images/1mc2r12000kwk7avj877F_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.76543, 106.69009",
,Yen Nam Hotel Hoang Van Thu,,4.0,No. 197A Hoang Van Thu Street,Yen Nam Hotel Hoang Van Thu located at No. 197A Hoang Van Thu Street,Yen Nam Hotel Hoang Van Thu is a 3-star hotel in Ho Chi Minh City. Rated 8.1/10 by 55 reviews. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Standard Double Room' with 1 queen bed. Clean and tidy|Great stay!,Clean and tidy|Great stay!,~₫450000/night (approx. $18),https://ak-d.tripcdn.com/images/0206t120009f3il1kC6A3_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.799602, 106.673179",Clean and tidy|Great stay!
,Thu Ha Airport Hotel,,4.2,"38 Hau Giang, Ward 4","Thu Ha Airport Hotel located at 38 Hau Giang, Ward 4",Thu Ha Airport Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.5/10 by 32 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Superior Double Room' with 1 queen bed. Clean and tidy|Convenient location,Clean and tidy|Convenient location,~₫325000/night (approx. $13),https://ak-d.tripcdn.com/images/1mc5y12000l9q49neC9A3_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.807974, 106.662998",Clean and tidy|Convenient location
,JW Marriott Hotel & Suites Saigon,,4.6,"Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon located at Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 199 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Deluxe Guest Room, 2 Twin' with 2 single beds. Great location|Great stay!",Great location|Great stay!,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/0223312000h04end9BCB9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.780941, 106.700568",Great location|Great stay!
,Pynt Hotel 2,,4.3,"274 Thong Nhat Street, Ward 16, Go Vap","Pynt Hotel 2 located at 274 Thong Nhat Street, Ward 16, Go Vap",Pynt Hotel 2 is a 3-star hotel in Ho Chi Minh City. Rated 8.6/10 by 54 reviews. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Deluxe Room' with 1 queen bed. Great amenities|Clean and tidy,Great amenities|Clean and tidy,~₫500000/night (approx. $20),https://ak-d.tripcdn.com/images/1z65612000f19lca7220D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.839586, 106.665413",Great amenities|Clean and tidy
,Amory Villa Thao Dien,,4.1,"26/6 Street 12, An Khanh ward, District 2","Amory Villa Thao Dien located at 26/6 Street 12, An Khanh ward, District 2",Amory Villa Thao Dien is a 4-star hotel in Ho Chi Minh City. Rated 8.2/10 by 13 reviews. Guests praise its location near Near Thao Dien Metro Station. The most popular room is 'Deluxe Double Or Twin With Balcony' with 2 queen beds or 1 queen bed. ,,~₫525000/night (approx. $21),https://ak-d.tripcdn.com/images/0226712000lh2r137D02B_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.790445, 106.73227",
,TRANG AN HOTEL,,4.4,"627 Xo Viet Nghe Tinh, Ward 26","TRANG AN HOTEL located at 627 Xo Viet Nghe Tinh, Ward 26",TRANG AN HOTEL is a 3-star hotel in Ho Chi Minh City. Rated 8.8/10 by 22 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory. The most popular room is 'Superior Double Room' with 1 double bed. Friendly host,Friendly host,~₫450000/night (approx. $18),https://ak-d.tripcdn.com/images/1mc3w12000jng9h3e7408_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.811198, 106.713767",Friendly host
,Saigon Center Apartment Hotel,,4.2,"720A Đ. Điện Biên Phủ, Phường 22","Saigon Center Apartment Hotel located at 720A Đ. Điện Biên Phủ, Phường 22",Saigon Center Apartment Hotel is a 4-star hotel in Ho Chi Minh City. Rated 8.4/10 by 201 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Hang Xanh. The most popular room is 'Deluxe 1-Bedroom Suite(Not LM81Tower)' with 1 queen bed. Great rooms|Great view,Great rooms|Great view,~₫1250000/night (approx. $50),https://ak-d.tripcdn.com/images/1mc4z12000f33pqnz1B7D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.795226, 106.721888",Great rooms|Great view
,Your Homes River Gate Premium,,4.7,151 Đường Bến Vân Đồn,Your Homes River Gate Premium located at 151 Đường Bến Vân Đồn,Your Homes River Gate Premium is a 4-star hotel in Ho Chi Minh City. Rated 9.3/10 by 108 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Studio Superior' with 1 king bed. Great stay!|Great location,Great stay!|Great location,~₫900000/night (approx. $36),https://ak-d.tripcdn.com/images/0204812000c3sv39v2654_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.76198, 106.69936",Great stay!|Great location
,The Rice Hotel 131 Bui Vien,,4.0,"131 BUI VIEN, PHAM NGU LAO WARD","The Rice Hotel 131 Bui Vien located at 131 BUI VIEN, PHAM NGU LAO WARD",The Rice Hotel 131 Bui Vien is a 3-star hotel in Ho Chi Minh City. Rated 8.1/10 by 42 reviews. Guests praise its location near Near Pham Ngu Lao | Bui Vien Walking Street. The most popular room is 'Standard Comfy Queen Bed - Aircon/Hot Shower' with 1 queen bed. Clean and tidy|Great location,Clean and tidy|Great location,~₫400000/night (approx. $16),https://ak-d.tripcdn.com/images/1z61u12000g3wpum1044D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.766353, 106.692105",Clean and tidy|Great location
,Novotel Living Saigon South,,4.4,"No 2 Street C, Tan Phu Ward, District 7","Novotel Living Saigon South located at No 2 Street C, Tan Phu Ward, District 7",Novotel Living Saigon South is a 4-star hotel in Ho Chi Minh City. Rated 8.8/10 by 249 reviews. Guests praise its location near Near Saigon Exhibition and Convention Center (SECC) | Phu My Hung. The most popular room is 'One-Bedroom Apartment' with 1 queen bed. Great rooms|Great for business trips,Great rooms|Great for business trips,~₫3525000/night (approx. $141),https://ak-d.tripcdn.com/images/1mc4i12000gmgousgE885_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.73049, 106.72361",Great rooms|Great for business trips
,Haven Hut Riverside Hotel,,4.2,142 Ton That Thuyet,Haven Hut Riverside Hotel located at 142 Ton That Thuyet,Haven Hut Riverside Hotel is a 2-star hotel in Ho Chi Minh City. Rated 8.4/10 by 61 reviews. Guests praise its location near Near Pham Ngu Lao. The most popular room is 'Superior Window' with 1 queen bed. Clean and tidy|Great stay!,Clean and tidy|Great stay!,~₫400000/night (approx. $16),https://ak-d.tripcdn.com/images/1mc1f12000cwihnrs903A_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.75339, 106.70744",Clean and tidy|Great stay!
,Cupid Hotel,,4.5,"2 Bis Nam Quoc Cang, Pham Ngu Lao","Cupid Hotel located at 2 Bis Nam Quoc Cang, Pham Ngu Lao",Cupid Hotel is a 2-star hotel in Ho Chi Minh City. Rated 9.0/10 by 178 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Superior Room' with 1 queen bed. Great service|Great stay!,Great service|Great stay!,~₫475000/night (approx. $19),https://ak-d.tripcdn.com/images/200a0z000000msa4u67B0_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.767769, 106.688224",Great service|Great stay!
,InterContinental Grand Ho Tram,,4.7,"Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram located at Ho Tram Hamlet, Ho Tram Commune, Ho Chi Minh City","InterContinental Grand Ho Tram is a 5-star hotel in Phuoc Thuan. Rated 9.3/10 by 90 reviews. Guests praise its location near Near Ho Tram Beach, Phuoc Thuan. The most popular room is 'Classic King Room - Non-Smoking' with 1 king bed. Great stay!|Great service",Great stay!|Great service,~₫2475000/night (approx. $99),https://ak-d.tripcdn.com/images/0225b120009c6vqxq46A4_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.486559, 107.454275",Great stay!|Great service
,M Village Living Ky Dong,,4.5,20/9 Ky Dong street,M Village Living Ky Dong located at 20/9 Ky Dong street,M Village Living Ky Dong is a 3-star hotel in Ho Chi Minh City. Rated 8.9/10 by 122 reviews. Guests praise its location near Near Saigon Train Station. The most popular room is 'Superior Room With Window' with 1 queen bed. Great stay!|Great rooms,Great stay!|Great rooms,~₫950000/night (approx. $38),https://ak-d.tripcdn.com/images/1mc2h12000ioa0dty931D_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.78272, 106.68131",Great stay!|Great rooms
,M Village Hotel Ton That Dam,,4.5,"131 Tôn Thất Đạm, Bến Nghé","M Village Hotel Ton That Dam located at 131 Tôn Thất Đạm, Bến Nghé",M Village Hotel Ton That Dam is a 4-star hotel in Ho Chi Minh City. Rated 8.9/10 by 342 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Deluxe Twin Room' with 2 single beds. Great swimming pool|Clean pool,Great swimming pool|Clean pool,~₫2600000/night (approx. $104),https://ak-d.tripcdn.com/images/1mc6y12000d583tdn51A0_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.772435, 106.702529",Great swimming pool|Clean pool
,A25 Hotel - 255 Le Thanh Ton,,4.0,"255 Le Thanh Ton, Ben Thanh","A25 Hotel - 255 Le Thanh Ton located at 255 Le Thanh Ton, Ben Thanh",A25 Hotel - 255 Le Thanh Ton is a 3-star hotel in Ho Chi Minh City. Rated 8.1/10 by 73 reviews. Guests praise its location near Near Pham Ngu Lao | Ho Chi Minh City Centre. The most popular room is 'Deluxe Twin' with 2 single beds. Great location|Great stay!,Great location|Great stay!,~₫925000/night (approx. $37),https://ak-d.tripcdn.com/images/1mc2812000nxn0gik6E50_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.771911, 106.695895",Great location|Great stay!
,Minh Ngoc Hotel,,5.0,"Duong so 6c, khu DC Trung son H. Binh Chanh 36","Minh Ngoc Hotel located at Duong so 6c, khu DC Trung son H. Binh Chanh 36",Minh Ngoc Hotel is a 2-star hotel in Ho Chi Minh City. Rated 10.0/10 by 4 reviews. Guests praise its location near Near Saigon Exhibition and Convention Center (SECC). The most popular room is 'Standard Room' with 1 queen bed. ,,~₫475000/night (approx. $19),https://ak-d.tripcdn.com/images/1mc2912000ldnn1959E5E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.736753, 106.690432",
,La Phan Huy Ich Hotel,,4.2,Phan Huy Ích 66/7 - 66/9,La Phan Huy Ich Hotel located at Phan Huy Ích 66/7 - 66/9,"La Phan Huy Ich Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.5/10 by 16 reviews. Guests praise its location near Near Cc Thái An, Nguyễn Văn Quá, Phường Đông Hưng Thuận, Quận 12, TP Ho Chi Minh | Tan Son Nhat Airport Area. The most popular room is 'Deluxe Double Room With Window' with 1 queen bed. ",,~₫475000/night (approx. $19),https://ak-d.tripcdn.com/images/0202a12000cka6ki02B0F_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.82932, 106.63477",
,Sophie Home 1 bedroom,,4.5,"208 Nguyen Huu Canh, P 22, Quan Binh Thanh","Sophie Home 1 bedroom located at 208 Nguyen Huu Canh, P 22, Quan Binh Thanh",Sophie Home 1 bedroom is a 3-star hotel in Ho Chi Minh City. Rated 8.9/10 by 5 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Hang Xanh. The most popular room is 'Standard River View Single Room' with 1 king bed. ,,~₫925000/night (approx. $37),https://ak-d.tripcdn.com/images/0200i12000dif9c9t78C5_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.794692, 106.720682",
,Minh Tam Phu Nhuan Hotel & Spa,,4.1,145 8 D. Nguyễn Văn Trỗi,Minh Tam Phu Nhuan Hotel & Spa located at 145 8 D. Nguyễn Văn Trỗi,Minh Tam Phu Nhuan Hotel & Spa is a 3-star hotel in Ho Chi Minh City. Rated 8.2/10 by 40 reviews. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Deluxe Family' with 2 queen beds. Great service,Great service,~₫800000/night (approx. $32),https://ak-d.tripcdn.com/images/220k0w000000kaiwlD2A6_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.794647, 106.676476",Great service
,VINHOMES APARTMENT LUXURY IN HCMC,,4.0,720A Dien Bien Phu,VINHOMES APARTMENT LUXURY IN HCMC located at 720A Dien Bien Phu,VINHOMES APARTMENT LUXURY IN HCMC is a 4-star hotel in Ho Chi Minh City. Rated 8.1/10 by 87 reviews. Guests praise its location near Near Landmark 81 Sky View Observatory | Hang Xanh. The most popular room is 'DELUXE APARTMENT CITY VIEW 1 BEDROOM' with 1 king bed. Clean and tidy|Great location,Clean and tidy|Great location,~₫900000/night (approx. $36),https://ak-d.tripcdn.com/images/1mc3b12000cfhi1b93D29_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.794673, 106.720827",Clean and tidy|Great location
,Sheraton Saigon Grand Opera Hotel,,4.7,"88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel located at 88 Dong Khoi, Sai Gon Ward","Sheraton Saigon Grand Opera Hotel is a 5-star hotel in Ho Chi Minh City. Rated 9.3/10 by 476 reviews. Guests praise its location near Near Saigon Japan Town | Nguyen Hue Walking Street. The most popular room is 'Guest Room, 1 King Bed' with 1 king bed. Delicious breakfast|Located downtown",Delicious breakfast|Located downtown,~₫4825000/night (approx. $193),https://ak-d.tripcdn.com/images/1mc3112000icibkvj724E_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.775446, 106.703878",Delicious breakfast|Located downtown
,Bien Sao Hotel Duong Quang Ham,,4.2,"342 Duong Quan Ham Street, Ward 5","Bien Sao Hotel Duong Quang Ham located at 342 Duong Quan Ham Street, Ward 5",Bien Sao Hotel Duong Quang Ham is a 3-star hotel in Ho Chi Minh City. Rated 8.5/10 by 1 review. Guests praise its location near Near Tan Son Nhat International Airport. The most popular room is 'Standard Double Room' with 1 queen bed. ,,~₫375000/night (approx. $15),https://ak-d.tripcdn.com/images/1z62f12000m7282l5757A_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.831854, 106.686681",
,Haven Hut Hotel,,4.2,"176 Co Giang Street, Co Giang Ward","Haven Hut Hotel located at 176 Co Giang Street, Co Giang Ward",Haven Hut Hotel is a 2-star hotel in Ho Chi Minh City. Rated 8.3/10 by 71 reviews. Guests praise its location near Near Pham Ngu Lao | Bach Dang Riverside. The most popular room is 'Superior Double Room' with 1 queen bed. Clean and tidy|Great rooms,Clean and tidy|Great rooms,~₫450000/night (approx. $18),https://ak-d.tripcdn.com/images/0224p12000c0v67bv3699_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.761936, 106.693443",Clean and tidy|Great rooms
,Express by M Village Dinh Cong Trang,,4.5,"22 - 24 Dinh Cong Trang, Tan Dinh Ward","Express by M Village Dinh Cong Trang located at 22 - 24 Dinh Cong Trang, Tan Dinh Ward",Express by M Village Dinh Cong Trang is a 3-star hotel in Ho Chi Minh City. Rated 9.1/10 by 63 reviews. Guests praise its location near Near Tan Dinh Church. The most popular room is 'Studio No Window' with 1 queen bed. Great stay!|Clean and tidy,Great stay!|Clean and tidy,~₫750000/night (approx. $30),https://ak-d.tripcdn.com/images/1mc4812000io9s1p1D292_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.790075, 106.691666",Great stay!|Clean and tidy
,Sunny Guesthouse,,4.4,241/33 Pham Ngu Lao,Sunny Guesthouse located at 241/33 Pham Ngu Lao,Sunny Guesthouse is a 3-star hotel in Ho Chi Minh City. Rated 8.8/10 by 47 reviews. Guests praise its location near Near Pham Ngu Lao | Pham Ngu Lao Street Area. The most popular room is 'Superior Double Bed Room' with 1 queen bed. ,,~₫725000/night (approx. $29),https://ak-d.tripcdn.com/images/0221o12000kzv6cffB003_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.767576, 106.692761",
,JW Marriott Hotel & Suites Saigon,,4.6,"Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon located at Corner Hai Ba Trung Street & Le Duan Boulevard, Ben Nghe Ward","JW Marriott Hotel & Suites Saigon is a 5-star hotel in Ho Chi Minh City. Rated 9.2/10 by 199 reviews. Guests praise its location near Near Saigon Japan Town. The most popular room is 'Deluxe Guest Room, 2 Twin' with 2 single beds. Great location|Great stay!",Great location|Great stay!,~₫6625000/night (approx. $265),https://ak-d.tripcdn.com/images/0223312000h04end9BCB9_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.780941, 106.700568",Great location|Great stay!
,The Airport Hotel,,4.2,"11 Cuu Long Street, Ward 2, Tan Binh District","The Airport Hotel located at 11 Cuu Long Street, Ward 2, Tan Binh District",The Airport Hotel is a 3-star hotel in Ho Chi Minh City. Rated 8.3/10 by 215 reviews. Guests praise its location near Near Tan Son Nhat International Airport | Tan Son Nhat Airport Area. The most popular room is 'Standard Double Room without Window' with 1 queen bed. Close to airport|Easy to get around,Close to airport|Easy to get around,~₫575000/night (approx. $23),https://ak-d.tripcdn.com/images/220r0g0000007ueorDE34_R_600_600_R5_D.jpg_.webp,0:00,23:59,"10.809776, 106.665754",Close to airport|Easy to get around
